Country Name,Country Code,V1_2015
Europa y Asia central (excluido altos ingresos),ECA,3.0698194445191
Europa y Asia central,ECS,0.0091699387375494
Ecuador,ECU,
"Egipto, República Árabe de",EGY,4.06163687662409
Zona del Euro,EMU,0
Eritrea,ERI,
España,ESP,
Estonia,EST,0
Etiopía,ETH,18.8010110628449
Unión Europea,EUU,0
Frágiles y situaciones de conflicto afectados,FCS,7.24262453652013
Finlandia,FIN,0
Fiji,FJI,19.7761535324116
Francia,FRA,-0.0123250105276132
Islas Feroe,FRO,
Micronesia (Estados Federados de),FSM,3.8966583071721
Gabón,GAB,20.7842119739415
Reino Unido,GBR,0
Georgia,GEO,0.714757209455836
Ghana,GHA,
Gibraltar,GIB,
Guinea,GIN,
Gambia,GMB,
Guinea-Bissau,GNB,
Guinea Ecuatorial,GNQ,0.857850395046244
Grecia,GRC,0
Granada,GRD,
Groenlandia,GRL,
Guatemala,GTM,4.55486067253721
Guam,GUM,
Guyana,GUY,
Ingreso alto,HIC,0
"Hong Kong, Región Administrativa Especial",HKG,
Honduras,HND,3.31083254464234
Países pobres muy endeudados (PPME),HPC,9.97054072798381
Croacia,HRV,0.0172290312580856
Haití,HTI,
Hungría,HUN,0
Sólo BIRF,IBD,3.55633445848596
BIRF y la AIF,IBT,5.13720162922894
total de la AIF,IDA,9.54129736806282
mezcla de la AIF,IDB,9.09138065346699
Indonesia,IDN,2.28440172449563
Sólo AIF,IDX,10.7919692489373
Isla de Man,IMN,
India,IND,12.2883375942345
No clasificado,INX,
Irlanda,IRL,0
"Irán, República Islámica del",IRN,
Iraq,IRQ,1.26666568889509
Islandia,ISL,0.662835208009775
Israel,ISR,0.726706269997307
Italia,ITA,0
Jamaica,JAM,9.70496766298908
Jordania,JOR,4.89678207259833
Japón,JPN,
Kazajstán,KAZ,19.2741595366235
Kenya,KEN,7.42762648257256
Kirguistán,KGZ,6.95145709121553
Camboya,KHM,14.6308092549764
Kiribati,KIR,1.13276759019451
Saint Kitts y Nevis,KNA,15.2005263884025
"Corea, República de",KOR,2.04789718590996
Kuwait,KWT,
América Latina y el Caribe (excluido altos ingresos),LAC,4.15743186193428
República Democrática Popular Lao,LAO,
Líbano,LBN,5.3514867800058
Liberia,LBR,
Libia,LBY,
Santa Lucía,LCA,25.7093265219578
América Latina y el Caribe,LCN,3.76000305133135
Países menos desarrollados: clasificación de las Naciones Unidas,LDC,10.7919692489373
Países de ingreso bajo,LIC,
Liechtenstein,LIE,
Sri Lanka,LKA,16.719059454217
Países de ingreso mediano bajo,LMC,6.95145709121553
Ingreso mediano y bajo,LMY,5.31085569071714
Lesotho,LSO,12.5290602929412
avanzada del dividendo demográfico,LTE,2.68589802615126
Lituania,LTU,0
Luxemburgo,LUX,0
Letonia,LVA,0.0301940651189888
"Región Administrativa Especial de Macao, China",MAC,0
Isla de San Martín (parte francesa),MAF,
Marruecos,MAR,3.1116459231606
Mónaco,MCO,
República de Moldova,MDA,3.30597230380201
Madagascar,MDG,12.3846973537195
Maldivas,MDV,
Oriente Medio y Norte de África,MEA,
México,MEX,1.28402745684464
Islas Marshall,MHL,7.13142726371291
 Ingreso mediano,MIC,5.05703015961668
Macedonia del Norte,MKD,2.68589802615126
Malí,MLI,11.2054655891968
Malta,MLT,0
Myanmar,MMR,3.39185581184318
Oriente Medio y Norte de África (excluido altos ingresos),MNA,
Montenegro,MNE,
Mongolia,MNG,5.90756669841398
Mariana,MNP,
Mozambique,MOZ,7.24262453652013
Mauritania,MRT,
Mauricio,MUS,1.09998925123711
Malawi,MWI,7.58527175595435
Malasia,MYS,1.72121831766999
América del Norte,NAC,1.27347589725793
Namibia,NAM,33.237030282912
Nueva Caledonia,NCL,
Níger,NER,
Nigeria,NGA,
Nicaragua,NIC,3.76000305133135
Países Bajos,NLD,0
Noruega,NOR,0.228479722952499
Nepal,NPL,16.6315973219489
Nauru,NRU,8.79794451264733
Nueva Zelandia,NZL,2.91447959137911
Miembros OCDE,OED,0
Omán,OMN,
Otros Estados pequeos,OSS,1.09998925123711
Pakistán,PAK,
Panamá,PAN,5.39645017066561
Perú,PER,1.47210335064618
Filipinas,PHL,17.9569122831018
Palau,PLW,12.5596837934188
Papua Nueva Guinea,PNG,5.13720162922894
Polonia,POL,0
previa al dividendo demográfico,PRE,9.39745176116163
Puerto Rico,PRI,
"Corea, República Popular Democrática de",PRK,
Portugal,PRT,0
Paraguay,PRY,4.97386303488726
Ribera Occidental y Gaza,PSE,
Estados pequeos de las Islas del Pacfico,PSS,
posterior al dividendo demográfico,PST,0
Polinesia Francesa,PYF,
Qatar,QAT,
Rumania,ROU,0.00111084621701321
Federación de Rusia,RUS,13.226539517467
Rwanda,RWA,4.03386204385571
Asia meridional,SAS,16.6315973219489
Arabia Saudita,SAU,3.52117043744512
Sudán,SDN,16.629969284291
Senegal,SEN,10.3997840879048
Singapur,SGP,0
Islas Salomón,SLB,25.0136936466172
Sierra Leona,SLE,
El Salvador,SLV,3.59430503977688
San Marino,SMR,0.517215751911618
Somalia,SOM,
Serbia,SRB,1.9584479547597
África al sur del Sahara (excluido altos ingresos),SSA,10.3997840879048
Sudán del Sur,SSD,
África al sur del Sahara,SSF,10.3997840879048
Pequeños Estados,SST,4.90259703293826
Santo Tomé y Príncipe,STP,
Suriname,SUR,
República Eslovaca,SVK,6.45100744000832e-05
Eslovenia,SVN,0
Suecia,SWE,0
Eswatini,SWZ,
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,5.21036220804863
República Árabe Siria,SYR,
Islas Turcas y Caicos,TCA,
Chad,TCD,
Asia oriental y el Pacífico (BIRF y la AIF),TEA,3.47219360158956
Europa y Asia central (BIRF y la AIF),TEC,2.91030192689484
Togo,TGO,18.4801514226562
Tailandia,THA,3.55253139133594
Tayikistán,TJK,
Turkmenistán,TKM,
América Latina y el Caribe (BIRF y la AIF),TLA,3.76000305133135
Timor-Leste,TLS,0.770223953581529
Oriente Medio y Norte de África (BIRF y la AIF),TMN,
Tonga,TON,
Asia meridional (BIRF y la AIF),TSA,16.6315973219489
África al sur del Sahara (BIRF y la AIF),TSS,10.3997840879048
Trinidad y Tobago,TTO,4.90259703293826
Túnez,TUN,
Turquía,TUR,1.21136468172754
Tuvalu,TUV,
Tanzanía,TZA,6.30651698982667
Uganda,UGA,9.39745176116163
Ucrania,UKR,5.71266542596177
Ingreso mediano alto,UMC,3.30597230380201
Uruguay,URY,3.48304417560157
Estados Unidos,USA,1.09583334686729
Uzbekistán,UZB,15.2540939809296
San Vicente y las Granadinas,VCT,22.215313717243
Venezuela,VEN,
Islas Vírgenes Británicas,VGB,
Islas Vírgenes (EE.UU.),VIR,
Viet Nam,VNM,
Vanuatu,VUT,10.9766688555863
Mundo,WLD,3.39185581184318
Samoa,WSM,8.17734903743206
Kosovo,XKX,
"Yemen, Rep. del",YEM,
Sudáfrica,ZAF,3.56013752563599
Zambia,ZMB,5.27022460142848
Zimbabwe,ZWE,9.09138065346699
